Original number: 155 current diff number: 0 , quantizated number: 155 , dequantizated number: 155 , decoded number: 155
Original number: 155 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 155
Original number: 156 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 156
Original number: 157 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 157
Original number: 158 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 158
Original number: 158 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 158
Original number: 159 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 159
Original number: 159 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 159
Original number: 159 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 159
Original number: 159 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 159
Original number: 159 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 159
Original number: 159 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 159
Original number: 160 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 160
Original number: 161 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 161
Original number: 163 current diff number: 2 , quantizated number: 81 , dequantizated number: 1 , decoded number: 162
Original number: 164 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 163
Original number: 162 current diff number: -2 , quantizated number: 79 , dequantizated number: -2 , decoded number: 161
Original number: 163 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 162
Original number: 164 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 163
Original number: 165 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 164
Original number: 167 current diff number: 2 , quantizated number: 81 , dequantizated number: 1 , decoded number: 165
Original number: 168 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 166
Original number: 169 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 167
Original number: 170 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 168
Original number: 171 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 169
Original number: 170 current diff number: -1 , quantizated number: 80 , dequantizated number: 0 , decoded number: 169
Original number: 170 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 169
Original number: 170 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 169
Original number: 170 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 169
Original number: 171 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 170
Original number: 172 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 171
Original number: 173 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 172
Original number: 174 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 173
Original number: 175 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 174
Original number: 175 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 174
Original number: 176 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 175
Original number: 177 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 176
Original number: 178 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 177
Original number: 178 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 177
Original number: 178 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 177
Original number: 180 current diff number: 2 , quantizated number: 81 , dequantizated number: 1 , decoded number: 178
Original number: 180 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 178
Original number: 180 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 178
Original number: 181 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 179
Original number: 181 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 179
Original number: 181 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 179
Original number: 182 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 180
Original number: 182 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 180
Original number: 181 current diff number: -1 , quantizated number: 80 , dequantizated number: 0 , decoded number: 180
Original number: 182 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 181
Original number: 183 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 182
Original number: 184 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 183
Original number: 184 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 183
Original number: 184 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 183
Original number: 183 current diff number: -1 , quantizated number: 80 , dequantizated number: 0 , decoded number: 183
Original number: 183 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 183
Original number: 182 current diff number: -1 , quantizated number: 80 , dequantizated number: 0 , decoded number: 183
Original number: 183 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 184
Original number: 183 current diff number: 0 , quantizated number: 80 , dequantizated number: 0 , decoded number: 184
Original number: 184 current diff number: 1 , quantizated number: 81 , dequantizated number: 1 , decoded number: 185
